  Prov. Des.    q       Q       H     Epoch      M     Peri. Node   Incl.  e      a
  2021 EE44   27.881  56.757    6.5   20210705   69.9   78.7 296.4   7.7 0.341  42.319
  2020 SE35   34.148  51.011    8.60  20201217    9.7    2.8 356.2   7.7 0.198  42.579
  2020 KY11   49.884  52.248    8.6   20201217  322.6   48.7 278.2   8.0 0.023  51.066
  2020 KX11   64.679  67.336    8.2   20201217  321.4  208.3 117.8  14.3 0.020  66.007
  2020 KW11   38.679  54.272    9.01  20201217   97.7   29.1 141.4   4.8 0.168  46.476
  2020 KT11   34.482  52.002    9.22  20201217  208.5  165.8 281.5  27.4 0.203  43.242
  2020 KR11   42.162  50.383    7.48  20201217  201.1  318.8 131.0   5.9 0.089  46.273
  2020 KQ11   40.194  48.863    6.7   20201217  147.1  326.9 166.9   3.3 0.097  44.529
  2020 KP11   37.787  52.719    8.6   20201217  141.6   23.9 110.2  22.3 0.165  45.253
  2020 KO11   34.934  54.955    9.16  20201217  254.1  285.2 128.3   6.8 0.223  44.944
  2020 FA31   39.374 101.715    5.40  20201217  135.7  258.9 136.0  19.6 0.442  70.544
  2020 DJ6    41.321  46.186    6.90  20201217  206.3  298.9  57.4   0.5 0.056  43.753
  2020 DH6    41.085  62.878    8.4   20200221  350.3   68.7 144.6   0.9 0.210  51.982
  2020 BQ63   41.271  44.161    7.67  20201217  332.5  203.7  25.9   3.2 0.034  42.716
  2019 RO4    35.319  48.021    7.0   20201217   79.8   88.3 137.0  19.8 0.152  41.670
  2019 GJ23   40.530  47.140    7.04  20201217   68.4   57.9  64.3   0.5 0.075  43.835
  2018 VO137  45.201  65.561    7.31  20201217  234.8  135.6  42.7  39.0 0.184  55.381
  2018 VM35   44.954 459.704    7.7   20200531  356.6  302.9 192.4   8.5 0.822 252.329
  2018 MF13   31.300  51.605    8.7   20200531  260.3  312.9 100.9   3.1 0.245  41.453
  2018 JT6    42.726  63.801    6.8   20190427  232.6  115.8 209.8  26.8 0.198  53.264
  2018 GT15   51.540  63.625    7.5   20180412    0.0  357.3 171.4  26.0 0.105  57.582
  2018 AZ18   39.489  69.752    7.7   20200531  236.3   34.8 197.3  16.0 0.277  54.621
  2018 AY18   39.756  89.232    7.4   20190427   55.5  220.5 119.4  14.6 0.384  64.494
  2018 AH39   44.721  65.339    7.21  20201217  132.8  239.8  95.9  29.4 0.187  55.030
  2017 YK3    28.328  50.132    6.9   20201217   26.0   47.2  30.9   2.2 0.278  39.230
  2017 OG69   37.117  43.089    5.95  20201217   39.0  227.0 140.0  25.2 0.074  40.103
  2017 OF69   31.442  48.021    4.4   20210705  255.4  214.3 218.7  13.7 0.209  39.732
  2017 FP161  40.475  55.780    7.1   20180323  244.9  214.6 123.9  15.2 0.159  48.128
  2017 FE173  42.083 169.313    7.0   20200531   11.2  342.4 178.9  31.0 0.602 105.698
  2017 DN121  36.920  58.067    7.4   20200531   12.5  129.0 353.2  15.2 0.223  47.493
  2017 DM121  41.379  46.899    7.5   20200531  353.5   88.8  58.2  10.2 0.063  44.139
  2016 TY94   36.846  61.002    7.1   20200531    2.2  278.5 108.6  25.7 0.247  48.924
  2016 TT94   34.926  49.295    6.8   20201217   56.1  209.1 105.7  31.7 0.171  42.111
  2016 TS94   32.137  46.659    7.6   20201217   45.4  184.8 157.0  36.6 0.184  39.398
  2016 TR120  45.716  63.037    6.9   20200531  169.8   75.0 131.7  32.8 0.159  54.377
  2016 TQ120  42.271 114.370    6.6   20200531   44.4  189.5 106.2  38.0 0.460  78.320
  2016 TP120  39.954 302.122    7.0   20200531  350.9  351.1 126.5  32.6 0.766 171.038
  2016 TO120  39.907  79.628    7.34  20161102   70.5  196.2  83.1  32.6 0.332  59.768
  2016 TN120  43.220  61.893    6.42  20161102  216.8   53.5 126.0  29.4 0.178  52.557
  2016 SZ57   34.442  44.632    7.9   20190427   90.9  176.4 111.0  16.7 0.129  39.537
  2016 SY56   37.995  47.532    7.5   20200531  327.9  335.2 104.2  14.0 0.112  42.763
  2016 SW57   38.207  54.183    7.5   20200531  290.9   30.2 100.5  13.6 0.173  46.195
  2016 SU57   36.917  54.287    7.4   20200531   55.4  140.5 186.8  23.4 0.190  45.602
  2016 SS46   28.792  55.649    8.8   20201217  341.5  304.1 141.9  15.0 0.318  42.220
  2016 SQ58   32.243  40.460    8.0   20200531   25.6  198.4 170.0  22.7 0.113  36.351
  2016 SQ55   38.542  47.816    7.2   20200531  106.7  127.6 147.2  17.5 0.107  43.179
  2016 SJ57   33.912  38.722    7.4   20200531  351.2  268.8 144.9  15.3 0.066  36.317
  2016 SJ56   36.803  58.317    8.5   20190427    2.5  249.2 141.1  15.6 0.226  47.560
  2016 SH57   37.246  55.577    8.4   20200531  341.6  333.3  93.6  17.4 0.197  46.411
  2016 QV89   40.022 300.796    5.9   20201217  355.3  281.0 173.1  21.4 0.765 170.409
  2016 QP85   39.805  80.027    7.3   20201217    2.4  277.8 121.2  15.6 0.336  59.916
  2016 PA101  36.752  43.713    8.2   20190427  317.7  351.2  91.3  20.5 0.087  40.233
  2016 NZ90   34.301  61.719    7.0   20190427    2.6  350.1 296.8  21.4 0.286  48.010
  2016 LP88   48.600  49.914    7.0   20210705    5.1  179.3  63.3  23.8 0.013  49.257
  2016 GB277  39.997 118.972    7.2   20200531  316.0  255.9  37.0  31.3 0.497  79.485
  2016 FZ59   36.997  49.893    8.7   20160313   15.0  227.5 297.4  20.5 0.148  43.445
  2016 FZ58   44.317  44.998    7.9   20160313  360.0  251.3 284.7   8.6 0.008  44.657
  2016 FY59   38.353  49.705    7.9   20160313   18.0  316.7 209.0  31.0 0.129  44.029
  2016 FY58   38.689  44.540    8.3   20160313  359.9  210.8 325.5  14.4 0.070  41.614
  2016 FX59   39.930  44.994    8.0   20160313   55.7  274.1 211.1  29.6 0.060  42.462
  2016 FW58   39.565  44.479    7.8   20160313  359.9  208.0 327.2  20.3 0.058  42.022
  2016 FV59   40.525  43.586    8.1   20160313    4.4  325.8 212.2   9.9 0.036  42.055
  2016 FV58   40.444  41.797    7.8   20160313  181.0   88.7 264.5   7.8 0.016  41.121
